GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-calculator-app,com.calculator.presentation.dto.login,AuthLoginRequest,0,9,0,0,0,1,0,1,0,1
spring-calculator-app,com.calculator.presentation.dto.login,AuthLoginResponse,0,15,0,0,0,1,0,1,0,1
spring-calculator-app,com.calculator.config.security,SwaggerConfig,3,0,0,0,1,0,1,0,1,0
spring-calculator-app,com.calculator.config.security,SecurityConfig,0,115,0,0,0,21,0,8,0,8
spring-calculator-app,com.calculator.exception.error,ArithmeticOperationException,0,16,0,0,0,8,0,4,0,4
spring-calculator-app,com.calculator.exception.error,ElementNotFoundException,0,16,0,0,0,8,0,4,0,4
spring-calculator-app,com.calculator.persistence.entity,CalculatorOperation,0,86,0,2,0,14,0,18,0,17
spring-calculator-app,com.calculator.persistence.entity,UserEntity.UserEntityBuilder,25,65,0,0,0,1,2,10,2,10
spring-calculator-app,com.calculator.persistence.entity,UserEntity,0,110,0,2,0,17,0,23,0,22
spring-calculator-app,com.calculator,SpringCalculatorAppApplication,0,8,0,0,0,3,0,2,0,2
spring-calculator-app,com.calculator.presentation.controller,AuthController,0,24,0,0,0,3,0,3,0,3
spring-calculator-app,com.calculator.presentation.controller,CalculatorOperationController,0,62,0,0,0,11,0,5,0,5
spring-calculator-app,com.calculator.config.filter,JwtTokenValidator,0,49,0,4,0,12,0,4,0,2
spring-calculator-app,com.calculator.mapper,ICalculatorOperatorMapperImpl,0,117,0,10,0,37,0,10,0,5
spring-calculator-app,com.calculator.presentation.dto.register,AuthRegisterResponse,0,15,0,0,0,1,0,1,0,1
spring-calculator-app,com.calculator.presentation.dto.register,AuthRegisterRequest,0,12,0,0,0,1,0,1,0,1
spring-calculator-app,com.calculator.presentation.dto,CalculationOperationRequest,0,12,0,0,0,1,0,1,0,1
spring-calculator-app,com.calculator.presentation.dto,CalculationOperationResponse,0,24,0,0,0,1,0,1,0,1
spring-calculator-app,com.calculator.advice,CalculatorControllerAdvice,0,162,0,0,0,30,0,7,0,7
spring-calculator-app,com.calculator.service.impl,UserDetailServiceImpl.CustomUserDetails,0,51,0,0,0,18,0,9,0,9
spring-calculator-app,com.calculator.service.impl,CalculatorOperationServiceImpl,0,260,0,23,0,45,0,24,0,10
spring-calculator-app,com.calculator.service.impl,UserDetailServiceImpl,0,166,0,2,0,42,0,9,0,8
spring-calculator-app,com.calculator.util,OperationTypeEnum,0,45,0,0,0,8,0,1,0,1
spring-calculator-app,com.calculator.util,JwtUtils,6,81,0,0,2,24,0,7,0,7
